original_variable_name,bids_standard_name,datatype,levels,is_bids
subject_id,participant_id,nominal,[],false
age_at_scan,age,ratio,[],false
biological_sex,sex,nominal,"[""1 = Male"", ""2 = Female""]",false
diagnosis_code,diagnosis,nominal,"[""0 = Control"", ""1 = Patient""]",false
fmri_amplitude,fmri_amplitude,ratio,[],false
cortical_thickness,cortical_thickness,ratio,[],false
high_priority_flag,priority_status,ordinal,"[""1 = Low"", ""2 = Medium"", ""3 = High""]",false
patient_name,patient_name,pii_name,[],false
date_of_birth,date_of_birth,pii_date,[],false
MagneticFieldStrength,MagneticFieldStrength,ratio,[],true
RepetitionTime,RepetitionTime,ratio,[],true
EchoTime,EchoTime,ratio,[],true
Manufacturer,Manufacturer,nominal,[],true
AcquisitionTime,AcquisitionTime,pii_date,[],true
MRAcquisitionType,MRAcquisitionType,nominal,"[""2D"", ""3D""]",true
ScanningSequence,ScanningSequence,nominal,[],true
FlipAngle,FlipAngle,ratio,[],true
SliceThickness,SliceThickness,ratio,[],true
PhaseEncodingDirection,PhaseEncodingDirection,nominal,[],true
EffectiveEchoSpacing,EffectiveEchoSpacing,ratio,[],true
TotalReadoutTime,TotalReadoutTime,ratio,[],true
SeriesDescription,SeriesDescription,nominal,[],true
MetaboliteNAA,MetaboliteNAA,ratio,[],false
MetaboliteCho,MetaboliteCho,ratio,[],false
MetaboliteCr,MetaboliteCr,ratio,[],false
MetaboliteSNR,MetaboliteSNR,ratio,[],false
rsid,rsid,nominal,[],false
genotype,genotype,nominal,"[""0/0"", ""0/1"", ""1/1""]",false
protein_id,protein_id,nominal,[],false
abundance_level,abundance_level,ratio,[],false
metabolite_name,metabolite_name,nominal,[],false
concentration_value,concentration_value,ratio,[],false
survey_name,survey_name,nominal,[],false
phq9_total,phq9_total,ratio,[],false
gad7_total,gad7_total,ratio,[],false
specimen_type,specimen_type,nominal,"[""blood"", ""saliva"", ""urine"", ""csf""]",false
blood_wbc,blood_wbc,ratio,[],false
saliva_cortisol,saliva_cortisol,ratio,[],false
collection_time,collection_time,pii_date,[],false
device_brand,device_brand,nominal,"[""apple_watch"", ""fitbit"", ""actigraph""]",false
mean_hr,mean_hr,ratio,[],false
sleep_efficiency,sleep_efficiency,ratio,[],false
clinical_note,clinical_note,pii_note,[],false
extracted_snomed,extracted_snomed,nominal,[],false
visit_session,visit_session,nominal,[],false
SamplingFrequency,SamplingFrequency,ratio,[],true
EEGChannelCount,EEGChannelCount,ratio,[],true
EEGReference,EEGReference,nominal,[],true
TaskName,TaskName,nominal,[],true
PowerLineFrequency,PowerLineFrequency,ratio,[],true
SoftwareFilters,SoftwareFilters,nominal,[],true
RecordingDuration,RecordingDuration,ratio,[],true
RecordingType,RecordingType,nominal,"[""continuous"", ""epoched""]",true
EEGGround,EEGGround,nominal,[],true
EEGPlacementScheme,EEGPlacementScheme,nominal,[],true
EOGChannelCount,EOGChannelCount,ratio,[],true
ECGChannelCount,ECGChannelCount,ratio,[],true
EMGChannelCount,EMGChannelCount,ratio,[],true
MiscChannelCount,MiscChannelCount,ratio,[],true
TriggerChannelCount,TriggerChannelCount,ratio,[],true
eeg_amplitude,eeg_amplitude,ratio,[],false
